상품코드,상품명,옵션명,매입원가,기본배송비,포장비,기타비용
P-001,프리미엄 무선 충전기,화이트,9200,3000,500,300
P-001,프리미엄 무선 충전기,블랙,9200,3000,500,300
P-002,휴대용 미니 가습기,핑크,12500,3000,600,400
P-002,휴대용 미니 가습기,화이트,12500,3000,600,400
P-003,데일리 텀블러,블랙,5600,3000,400,200
P-003,데일리 텀블러,베이지,5600,3000,400,200
P-004,3단 자동 우산,네이비,8400,3000,350,150
P-004,3단 자동 우산,그레이,8400,3000,350,150
P-005,실리콘 주방 집게,민트,2600,3000,250,100
P-006,여행용 파우치 세트,6종,11800,3000,700,500
P-006,여행용 파우치 세트,8종,14200,3000,800,600
P-007,노트북 거치대,실버,17800,3000,900,700
P-008,차량용 방향제,라벤더,4200,0,300,200
P-009,반려동물 급수기,2L,19800,3000,800,700
P-010,에코 장바구니,기본,2100,3000,200,100
P-011,재고 확인용 보조배터리,10000mAh,15500,3000,700,500
